Sourcing Window Business Requirements ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Phase Estimate,PROCESS,REQUIREMENT ,DETAILS/CONTEXT,NEW FUNCTIONALITY?,,Jake Notes,,,,,,,,,,,
,,MUST HAVE, , , , , , , , , , , , , , , , 
SW-M-1,Phase 1 - Let's talk about it,,Ability to full manage suppliers while still agnostic to Block ,"Assigning vendors capabilities, tracking DOA rates, etc for Block Imaging","Yes/No (currently exists in Block system, needs to integrate into new system)",,,,,,,,,,,,,
SW-M-2,Phase 1,Sourcing and Vendor Management,Ability for vendors to have multiple 'capabilities' ,These are buckets we put them in to route requests to,No,,,,,,,,,,,,,
SW-M-3,Phase 2 - Internal - synced with SF?,,Must be able to rank each vendor within a capability with a tier,Tiers 1-3 (+) based on vendor KPI,No,,,,,,,,,,,,,
SW-M-4,Phase 2 - Internal - synced with SF?,,Must be able to manage Customer Concession Vendors,"If not approved, or actively listed as customer concession by Block, teams need to still have visablity into capabilities ",No,,,,,,,,,,,,,
SW-M-5,Phase 2 - Internal - synced with SF?,,Must be able to record vendor warehouse locations and shipping cut off times on Vendor Account,"There may be multiple, differing, options per supplier",Yes,,,,,,,,,,,,,
SW-M-6,Phase 2 - Internal - synced with SF?,,"On Capability record, we must be able to include 'notes' visable to internal (Block) users only",,No,,,,,,,,,,,,,
SW-M-7,Phase 1,,Ability for vendors to be connected to multiple customers,,No,,,,,,,,,,,,,
SW-M-8,Phase 1,Users,Must be able to have multiple users under 1 account,,No,,,,,,,,,,,,,
SW-M-9,Phase 1,Homepage,User must be able to see who is logged in from homepage,,No,,,,,,,,,,,,,
SW-M-10,Phase 1,,Homepage must default to Open Requests,Requests that have not yet been responded to,No,,,,,,,,,,,,,
SW-M-11,Phase 1,,Requests must order by oldest on top,,No,,,,,,,,,,,,,
SW-M-12,Phase 1,,"Requests (SRCs) must display with Time Open, SRC #, Requesting Customer, Material, Qty Requested and any notes customer put in at time of submission",,No,,,,,,,,,,,,,
SW-M-13,Phase 1,,"When responding from homepage view, user must be able to press 'unavailable' button without drilling into SRC",,No,"**VIKKI: Do we really need the ability to select all / multiple and do a mass removal?  IF so, we'll make that a requirement. ",,,,,,,,,,,,
SW-M-14,Phase 1,,"From homepage view, Vendor must be able to view their connected customers",,No,,,,,,,,,,,,,
SW-M-15,Phase 1,,"From homepage view, vendor must be able to see Roll up of Pending Fulfillments",,No,,,,,,,,,,,,,
SW-M-16,Phase 1,,"From homepage view, vendor must be able to see Pending Fulfilments, Request History and Order History",,No,,,,,,,,,,,,,
SW-M-17,Phase 1,,"Vendor must be able to 'search' each list view (Open Requests, Pending Fulfillments, Request History, Order History)",,No,,,,,,,,,,,,,
SW-M-18,Phase 1,,"Pending Fulfillments tab must display  PO#, Customer, Item Description, Total, Age Open (measured by time passed since PO record was created, until PO record confirmed), Confirmed. Button to click in to to view Purchase Records, or hyperlink PO#",,No,,,,,,,,,,,,,
SW-M-19,Phase 1,,"Request History View: Tiem Open (shows vendor response time), Sourcing Item #, Customer Name, Item Description, Qty, Status / Disposition (rename disposition 'condition'), Pricing (EX/OR). Ability to click into SRC to view record (or add'l button to click into to view). ",,No,,,,,,,,,,,,,
SW-M-20,Phase 1,Responding to SRC,"Vendor must see SRC#, Item Description, Customer Name, Created Date, Requested Qty adn Request Notes (what customer entered at time of request)",,No,,,,,,,,,,,,,
SW-M-21,Phase 1 - Buttons or reply to the email,,Vendor to be able to respond from email without logging into portal,Ex: Virtus Imaging ,Yes,,,,,,,,,,,,,
SW-M-22,Phase 1,,Vendor must be able to click 'no stock button',"This should automatically update the status to 'No stock' and close the record out, taking vendor to homepage",Yes,,,,,,,,,,,,,
SW-M-23,Phase 1,,"Buttons at bottom of SRC: Submit Quote, Clone, No Stock",,Yes/No (these are new names),,,,,,,,,,,,,
SW-M-24,Phase 1,,"To submit quote, vendor must enter Exchange Price, Outright Price, Condition, Warranty Period, Warranty Type",,No,,,,,,,,,,,,,
SW-M-25,Phase 1,,"Optional fields on SRC: Alternative Part Number, Date of Manufacturer, Item Usage. ",,No,,,,,,,,,,,,,
SW-M-26,Phase 1,,"Quantity' field on SRC should default to 1, and be renamed to 'Qty available' ",,No,,,,,,,,,,,,,
SW-M-27,Phase 1 - Discuss,,New Check Box: 'This Item is on Backorder',"If vendor selects this, it must be visable to customer in SWP / Block Imaging as it means this is NOT in stock",Yes,,,,,,,,,,,,,
SW-M-28,Phase 1 - Discuss,,"If vendor Submits Quote, it keeps them on SRC record with a 'submitted' notification and allows them to clone it for a second option (third, 4th)",Developers: Please propose alt. way of user offering multiple options for one material,"Yes/No (currently exists in Block system, needs to integrate into new system)",,,,,,,,,,,,,
SW-M-29,Phase 1,,Vendor must be able to view all connected cloned options in their history,,Yes,,,,,,,,,,,,,
SW-M-30,Phase 1 - Important,,"Vendor must be able to view customer user on the EMA and send messages, files, photos, etc",EMA = Messsage app,"Yes/No (currently exists in Block system, needs to integrate into new system)",,,,,,,,,,,,,
SW-M-31,Phase 1,Processing Orders,Vendor must be able to click into order from 'Pending Fulfilments' view and from link in email ,,No,,,,,,,,,,,,,
SW-M-32,Phase 1,,"Vendor must see same view as customer here: Recap of purchase fields (Customer Name, PO#, Issued Date, Total USE",,,,,,,,,,,,,,,
SW-M-33,Phase 1,,Vendor must be able to click 'Confirm Order' Button,"Launches email notification to customer that order is en process, stops timer",No,,,,,,,,,,,,,
SW-M-34,Phase 1,,"Vendor must be able to enter tracking, Serial Number, RMA number","When submitted, customer gest email w/notification",No,,,,,,,,,,,,,
SW-M-35,Phase 1,,Vendor must be able to save all or one of the fields above. Notification only fires to customer when all 3 fields are entered,,Yes,,,,,,,,,,,,,
SW-M-36,Phase 1,EMA,Vendor must be able to send and receive messages on sourcing record (notifications firing for each),,No,,,,,,,,,,,,,
SW-M-37,Phase 1,,Vendor must be able to send/recieve notifications on order record,notifications firing for each,No,,,,,,,,,,,,,
SW-M-38,Phase 1,,"Once a sourcing record has been purchased, vendor may still use EMA on that record but guided to PO record if messages are related to order itself",,No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SW-M-39,Phase 1,Notifications,Vendor must receive a notification to the email (on the capability) for a new request,,,,,,,,,,,,,,,
SW-M-40,Phase 1,,Vendor must receive a notification via email for a PO,,,,,,,,,,,,,,,
SW-M-41,Phase 1,,Vendor must receive a notificaiton via email for a chatter (EMA),,,,,,,,,,,,,,,
SW-M-42,Phase 1,,Vendor must have ability to click into link on every email notification to be taken directly to that record,,,,,,,,,,,,,,,
SW-M-43,Phase 1,,Vendor must be able to receive orders for warranty replacement from customers,"Vendor must KNOW it's a warranty, know why, and be prompted to provide warranty RMA ",YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,SHOULD HAVE  , , , ,,,,,,,,,,,,,
SW-S-1,Phase 1,,FAQ tab on SW Homepage ,"A place where venders can access training videos, tips and tricks, release updates, etc",Yes,,,,,,,,,,,,,
SW-S-2,Phase 1 - Discuss,,Vendors should be able to view their shipping cut offs from portal view in SW,"On home page, so they can request edits as neede","Yes/No (currently exists in Block system, needs to integrate into new system)",,,,,,,,,,,,,
SW-S-3,Phase 1,,Ability for vendors to view all req items that are connected to a single Req,"This helps them understand bulk sales opportunities, hero kits, etc",Yes,,,,,,,,,,,,,
SW-S-4,Phase 2,,Legal agreements for buyers / vendors (some sort of T's&C's for using the portal),Not a dev. requirement* ,Yes,,,,,,,,,,,,,
SW-S-5,Phase 1 - Discuss,,Vendor should be able to Cancel a PO if they can no longer fulfil it,This would auto-close stages & status to 'Cancelled' and must issue notification to customer that order was cancelled. ,Yes,,,,,,,,,,,,,
SW-S-6,Phase 1 - Discuss,,"If vendor does not response to an SRC within 7 days, the record should automatically move to history as a 'No Response' status (ie: removed from homepage, timer stops)",,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,COULD HAVE , , , ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SW-C-1,Phase 2+,,Ability for Vendor to Export Views / Data from portal,,,,,,,,,,,,,,,
SW-C-2,Phase 2+,,Ability for internal Block teams to propose new suppliers,This would trigger Vendor Quality team + SW team to vet and onboard new supplies,Yes,,,,,,,,,,,,,
SW-C-3,Phase 2+,,Ability for vendors to upload / view their Terms and Conditions,At the very least this should live on account in Block SF,Yes,,,,,,,,,,,,,
SW-C-4,Phase 2+,,Ability for vendors to view their approval status in SW,"Auto alert from Sourcing Window when they are about to expire, and ability to fill out form and submit to re-new.",Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,WILL NOT HAVE,, , ,,,,,,,,,,,,,
SW-N-1,Phase 1,,Any connection to Legendary - and fully agnostic to Block's SF org,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SW-N-2,Phase 1,On SRC Record,"In SW, There will not be an editable 'status' ",,,,,,,,,,,,,,,
SW-N-3,Phase 1,,"In SW, there will not be a 'cancel' button",,,,,,,,,,,,,,,
SW-N-4,Phase 1,,"in SW, there will not be a 'save' button",,,,,,,,,,,,,,,